"","X","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days"
"100",2740,"CBG29","Conepatus leuconotus","19/03/2020 1:17","19/03/2020","1:17:37",1550297,25838.3,430.6,17.9
"101",2741,"CBG29","Conepatus leuconotus","25/03/2020 20:47","25/03/2020","20:47:42",588601,9810,163.5,6.8
"102",2742,"CBG29","Conepatus leuconotus","26/03/2020 20:39","26/03/2020","20:39:46",85921,1432,23.9,1
"103",2743,"CBG29","Conepatus leuconotus","5/04/2020 20:30","5/04/2020","20:30:22",859833,14330.5,238.8,10
"104",2744,"CBG29","Conepatus leuconotus","26/04/2020 1:02","26/04/2020","1:02:37",1744331,29072.2,484.5,20.2
"105",2745,"CBG29","Conepatus leuconotus","20/07/2020 0:36","20/07/2020","0:36:30",7342433,122373.9,2039.6,85
"106",2746,"CBG29","Conepatus leuconotus","28/08/2020 5:34","28/08/2020","5:34:14",3387464,56457.7,941,39.2
"107",2747,"CBG29","Conepatus leuconotus","12/09/2020 20:20","12/09/2020","20:20:51",1349194,22486.6,374.8,15.6
"108",2826,"CBG29","Mephitis macroura","8/03/2020 20:13","8/03/2020","20:13:07",0,0,0,0
"109",3053,"CBG31","Conepatus leuconotus","21/03/2020 21:30","21/03/2020","21:30:35",0,0,0,0
"110",3054,"CBG31","Conepatus leuconotus","3/04/2020 3:21","3/04/2020","3:21:22",1057845,17630.8,293.8,12.2
